prepid,Total events
HIG-RunIISummer20UL16wmLHEGEN-01735,324000
HIG-RunIISummer20UL16wmLHEGEN-01736,324000
HIG-RunIISummer20UL16wmLHEGEN-01737,324000
HIG-RunIISummer20UL16wmLHEGEN-01738,324000
HIG-RunIISummer20UL16wmLHEGEN-01739,324000
HIG-RunIISummer20UL16wmLHEGEN-01740,324000
HIG-RunIISummer20UL16wmLHEGEN-01741,324000
HIG-RunIISummer20UL16wmLHEGEN-01742,324000
HIG-RunIISummer20UL16wmLHEGEN-01743,324000
HIG-RunIISummer20UL16wmLHEGEN-01744,324000
HIG-RunIISummer20UL16wmLHEGEN-01745,324000
HIG-RunIISummer20UL16wmLHEGEN-01746,324000
HIG-RunIISummer20UL16wmLHEGEN-01747,324000
HIG-RunIISummer20UL16wmLHEGEN-01748,324000
