prepid,Total events
HIG-RunIISummer20UL16wmLHEGEN-01735,600000
HIG-RunIISummer20UL16wmLHEGEN-01736,600000
HIG-RunIISummer20UL16wmLHEGEN-01737,600000
HIG-RunIISummer20UL16wmLHEGEN-01738,600000
HIG-RunIISummer20UL16wmLHEGEN-01739,600000
HIG-RunIISummer20UL16wmLHEGEN-01740,600000
HIG-RunIISummer20UL16wmLHEGEN-01741,600000
HIG-RunIISummer20UL16wmLHEGEN-01742,600000
HIG-RunIISummer20UL16wmLHEGEN-01743,600000
HIG-RunIISummer20UL16wmLHEGEN-01744,600000
HIG-RunIISummer20UL16wmLHEGEN-01745,600000
HIG-RunIISummer20UL16wmLHEGEN-01746,600000
HIG-RunIISummer20UL16wmLHEGEN-01747,600000
HIG-RunIISummer20UL16wmLHEGEN-01748,600000
