dataset,fragment,events,generator,gridpack,time per event,size per event,match efficiency,filter efficiency
ttZPrimeTott_M500_width4_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m500_relwidth4_madspin_tarball.tar.xz,1.8543349999999998,158.081,1.0,1.0
ttZPrimeTott_M500_width10_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m500_relwidth10_madspin_tarball.tar.xz,2.53207,153.6409,1.0,1.0
ttZPrimeTott_M500_width20_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m500_relwidth20_madspin_tarball.tar.xz,1.74044,154.3383,1.0,1.0
ttZPrimeTott_M500_width50_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m500_relwidth50_madspin_tarball.tar.xz,1.80659,157.3427,1.0,1.0
ttZPrimeTott_M750_width4_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m750_relwidth4_madspin_tarball.tar.xz,2.39069,156.2163,1.0,1.0
ttZPrimeTott_M750_width10_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m750_relwidth10_madspin_tarball.tar.xz,2.41546,158.4281,1.0,1.0
ttZPrimeTott_M750_width20_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m750_relwidth20_madspin_tarball.tar.xz,2.400325,155.0131,1.0,1.0
ttZPrimeTott_M750_width50_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m750_relwidth50_madspin_tarball.tar.xz,1.6871800000000001,156.6873,1.0,1.0
ttZPrimeTott_M1000_width4_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1000_relwidth4_madspin_tarball.tar.xz,1.573825,157.7318,1.0,1.0
ttZPrimeTott_M1000_width10_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1000_relwidth10_madspin_tarball.tar.xz,1.58965,157.7246,1.0,1.0
ttZPrimeTott_M1000_width20_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1000_relwidth20_madspin_tarball.tar.xz,2.36076,156.4549,1.0,1.0
ttZPrimeTott_M1000_width50_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1000_relwidth50_madspin_tarball.tar.xz,1.784225,160.4628,1.0,1.0
ttZPrimeTott_M1250_width4_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1250_relwidth4_madspin_tarball.tar.xz,1.52798,157.8373,1.0,1.0
ttZPrimeTott_M1250_width10_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1250_relwidth10_madspin_tarball.tar.xz,1.687115,159.4398,1.0,1.0
ttZPrimeTott_M1250_width20_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1250_relwidth20_madspin_tarball.tar.xz,1.6326649999999998,156.7989,1.0,1.0
ttZPrimeTott_M1250_width50_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1250_relwidth50_madspin_tarball.tar.xz,1.63353,158.0308,1.0,1.0
ttZPrimeTott_M1500_width4_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1500_relwidth4_madspin_tarball.tar.xz,1.6031849999999999,159.104,1.0,1.0
ttZPrimeTott_M1500_width10_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1500_relwidth10_madspin_tarball.tar.xz,1.54913,158.2376,1.0,1.0
ttZPrimeTott_M1500_width20_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1500_relwidth20_madspin_tarball.tar.xz,1.62968,158.1977,1.0,1.0
ttZPrimeTott_M1500_width50_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1500_relwidth50_madspin_tarball.tar.xz,1.657775,159.5054,1.0,1.0
ttZPrimeTott_M1750_width4_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1750_relwidth4_madspin_tarball.tar.xz,2.094505,158.5807,1.0,1.0
ttZPrimeTott_M1750_width10_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1750_relwidth10_madspin_tarball.tar.xz,1.551815,157.1624,1.0,1.0
