dataset,fragment,events,generator,gridpack
ttZPrimeTott_M500_width4_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m500_relwidth4_xsec_tarball.tar.xz
ttZPrimeTott_M500_width10_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m500_relwidth10_xsec_tarball.tar.xz
ttZPrimeTott_M500_width20_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m500_relwidth20_xsec_tarball.tar.xz
ttZPrimeTott_M500_width50_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m500_relwidth50_xsec_tarball.tar.xz
ttZPrimeTott_M750_width4_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m750_relwidth4_xsec_tarball.tar.xz
ttZPrimeTott_M750_width10_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m750_relwidth10_xsec_tarball.tar.xz
ttZPrimeTott_M750_width20_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m750_relwidth20_xsec_tarball.tar.xz
ttZPrimeTott_M750_width50_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m750_relwidth50_xsec_tarball.tar.xz
ttZPrimeTott_M1000_width4_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m1000_relwidth4_xsec_tarball.tar.xz
ttZPrimeTott_M1000_width10_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m1000_relwidth10_xsec_tarball.tar.xz
