prepid,Cross section (pb),Filter efficiency,Match efficiency,Time per event,Size per event
HIG-RunIIFall17wmLHEGS-04652,0,0,0,0,0
HIG-RunIIFall17wmLHEGS-04649,4.995e-09,1.0,0.5,8.6113,670.6253
HIG-RunIIFall17wmLHEGS-04656,6.601e-10,1.0,0.7,9.602,581.6454
HIG-RunIIFall17wmLHEGS-04645,2.128e-19,1.0,0.6,12.7675,635.1301
HIG-RunIIFall17wmLHEGS-04643,2.082e-22,1.0,0.6,13.4734,605.1132
HIG-RunIIFall17wmLHEGS-04648,8.254e-09,1.0,0.6,14.4972,586.6005
HIG-RunIIFall17wmLHEGS-04644,3.819e-24,1.0,0.6,15.4119,556.1372
HIG-RunIIFall17wmLHEGS-04639,2.423e-16,1.0,0.6,15.9742,590.2944
HIG-RunIIFall17wmLHEGS-04660,1.391e-08,1.0,0.5,17.1058,566.1587
HIG-RunIIFall17wmLHEGS-04646,4.155e-21,1.0,0.6,18.4704,650.0109
HIG-RunIIFall17wmLHEGS-04653,2.232e-15,1.0,0.6,18.9014,574.7992
HIG-RunIIFall17wmLHEGS-04640,7.393e-09,1.0,0.5,19.0472,605.1095
HIG-RunIIFall17wmLHEGS-04658,1.101e-08,1.0,0.5,19.2257,620.9271
HIG-RunIIFall17wmLHEGS-04651,1.444e-08,1.0,0.6,19.0785,611.8128
HIG-RunIIFall17wmLHEGS-04661,1.353e-08,1.0,0.6,19.9095,635.1473
HIG-RunIIFall17wmLHEGS-04654,3.768e-17,1.0,0.6,20.2336,606.939
HIG-RunIIFall17wmLHEGS-04650,1.619e-08,1.0,0.6,20.9393,624.9914
HIG-RunIIFall17wmLHEGS-04657,2.742e-09,1.0,0.6,21.2851,649.3825
HIG-RunIIFall17wmLHEGS-04655,4.225e-13,1.0,0.7,20.6953,640.1548
HIG-RunIIFall17wmLHEGS-04659,1.166e-08,1.0,0.6,21.7864,600.9465
HIG-RunIIFall17wmLHEGS-04642,4.249e-30,1.0,0.6,20.7368,594.2622
HIG-RunIIFall17wmLHEGS-04647,3.957e-18,1.0,0.6,20.8793,575.7084
HIG-RunIIFall17wmLHEGS-04641,3.472e-27,1.0,0.5,24.4887,615.0562
