prepid,Cross section (pb),Filter efficiency,Match efficiency,Time per event,Size per event
HIG-RunIISummer15wmLHEGS-03446,1.0,1.0,1.0,20,600
HIG-RunIISummer15wmLHEGS-03434,7.127e-09,1.0,1.0,20,619.7068
HIG-RunIISummer15wmLHEGS-03439,2e-19,1.0,1.0,20,620.5293
HIG-RunIISummer15wmLHEGS-03455,1.347e-08,1.0,1.0,20,613.8299
HIG-RunIISummer15wmLHEGS-03450,6.022e-10,1.0,1.0,20,597.5391
HIG-RunIISummer15wmLHEGS-03440,3.762e-21,1.0,1.0,20,614.7849
HIG-RunIISummer15wmLHEGS-03451,2.49e-09,1.0,1.0,20,638.3811
HIG-RunIISummer15wmLHEGS-03445,1.274e-08,1.0,1.0,20,639.8704
HIG-RunIISummer15wmLHEGS-03453,1.114e-08,1.0,1.0,20,613.9076
HIG-RunIISummer15wmLHEGS-03452,1.291e-08,1.0,1.0,20,612.7536
HIG-RunIISummer15wmLHEGS-03436,4.001e-30,1.0,1.0,20,636.5536
HIG-RunIISummer15wmLHEGS-03448,3.329e-17,1.0,1.0,20,603.5928
HIG-RunIISummer15wmLHEGS-03449,3.4e-13,1.0,1.0,20,605.3842
HIG-RunIISummer15wmLHEGS-03433,2.296e-16,1.0,1.0,20,591.7084
HIG-RunIISummer15wmLHEGS-03447,2.044e-15,1.0,1.0,20,605.1282
HIG-RunIISummer15wmLHEGS-03441,3.845e-18,1.0,1.0,20,641.8264
HIG-RunIISummer15wmLHEGS-03444,1.544e-08,1.0,1.0,20,592.2699
HIG-RunIISummer15wmLHEGS-03454,1.438e-08,1.0,1.0,20,642.5741
HIG-RunIISummer15wmLHEGS-03435,3.621e-27,1.0,1.0,20,611.8946
HIG-RunIISummer15wmLHEGS-03442,7.886e-09,1.0,1.0,20,619.6743
HIG-RunIISummer15wmLHEGS-03437,2.15e-22,1.0,1.0,20,606.309
HIG-RunIISummer15wmLHEGS-03438,3.677e-24,1.0,1.0,20,622.7802
HIG-RunIISummer15wmLHEGS-03443,5.278e-09,1.0,1.0,20,631.8059
